text,intent,task,slots,role
Can you give me the headcount report for the marketing department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I need the headcount by location for our offices in Europe.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you fetch the headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the total headcount in the engineering department right now?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you check the headcount for the remote workers?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
I think I need the headcount by department for the last month.,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
What’s the headcount by role for the upcoming quarter?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you provide the headcount for the interns in our company?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
"I’d like to see the headcount for the HR department, if possible.",headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the current headcount in the finance department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you tell me the headcount by location for the last year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
I need to know the headcount by role for the last quarter.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you share the headcount for the product team?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount for all locations combined?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you provide a breakdown of headcount by role for this month?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
I’m looking for the headcount report for the last six months.,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the headcount for part-time employees in our company?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you check the headcount by department for the last quarter?,headcount_report,headcount_by_department,"{""month"": ""July"", ""year"": ""2023""}",hr
I need to see the headcount by location for the past month.,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
Can you provide the headcount for the customer service team?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount in the IT department as of now?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you give me the headcount for all locations in Asia?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
I’d like to know the headcount by role for the last month.,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",hr
Can you tell me the headcount for the legal department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the total headcount for the company this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you provide the headcount for the operations team?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I need the headcount by location for the last three months.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you provide the headcount report by department for this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
"I need the headcount by location for the last quarter, if possible.",headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
Could you share the current headcount by role for our team?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What is the headcount report by department for September?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
Can I see the headcount by location for this year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Please provide the headcount by role for the engineering department.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Is there a way to get the headcount report for all departments?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
"I think I need the headcount by location for the last month, can you help?",headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",employee
Could you let me know the headcount by role for our sales team?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount report by department looking like for this year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Can I get the headcount by location for the last fiscal year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
"I would like to see the headcount by role for all employees, please.",headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the current headcount by department for October?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you show me the headcount by location for the engineering team?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
"I need the headcount by role for the marketing department, if available.",headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you provide the headcount report by department for the last two months?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
Can I see the headcount by role for the entire company?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
I think I need the headcount report by department for the last year.,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you provide the headcount by location for the last quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
What’s the current headcount by role for our department?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you share the headcount report by department for the last month?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
"I need the headcount by location for the last six months, if possible.",headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you let me know the headcount by role for the finance team?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount report by department for this quarter?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you provide the headcount by location for the last month?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",employee
Can I see the headcount by role for the IT department?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount report by department for the current year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you share the headcount by location for the last fiscal quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",hr
I would like to know the headcount by role for the HR department.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount report by department for the last two months?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
Can you provide the headcount by location for the current month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you let me know the headcount by role for the entire organization?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What was the headcount by role for the last quarter?,headcount_report,headcount_by_role,"{""month"": ""July"", ""year"": ""2023""}",employee
Could you share the current headcount by department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I'm looking for the headcount by location for the upcoming year.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2024""}",hr
Is there a report available for headcount by role for this month?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Can I get the headcount by department for the last month?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
What was the headcount by location for the first half of this year?,headcount_report,headcount_by_location,"{""month"": ""June"", ""year"": ""2023""}",employee
Could you tell me the headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2022""}",employee
Where can I find the headcount by location for this month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you help me with the headcount by role for the previous month?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",hr
I need to check the headcount by department for the upcoming month.,headcount_report,headcount_by_department,"{""month"": ""November"", ""year"": ""2023""}",employee
What is the headcount by location for the last two months?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
Could you provide the headcount by role for this year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
I think I need the headcount by department for the last year.,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",hr
Can I see the headcount by location for the last quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
What was the headcount by role for the last month?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",hr
Could you share the headcount by department for the current year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
I'm looking for the headcount by location for the past year.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2022""}",hr
Is there a way to get the headcount by role for this month?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you provide the headcount by department for the last two quarters?,headcount_report,headcount_by_department,"{""month"": ""July"", ""year"": ""2023""}",hr
What is the headcount by location for the last fiscal quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
Could you tell me the headcount by role for the upcoming quarter?,headcount_report,headcount_by_role,"{""month"": ""January"", ""year"": ""2024""}",hr
"I need the headcount by department for the last month, please.",headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
Where can I find the headcount by location for this quarter?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you help me with the headcount by role for last year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2022""}",employee
I think I need the headcount by department for the upcoming year.,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2024""}",hr
What was the headcount by location for the last two years?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2022""}",employee
Could you share the headcount by role for the last quarter?,headcount_report,headcount_by_role,"{""month"": ""July"", ""year"": ""2023""}",hr
Can I see the headcount by department for the last fiscal year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",employee
What is the headcount by location for the current month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
"I need the headcount report for our sales team, please.",headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""sales""}",hr
What is the current headcount in the marketing department?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""marketing""}",employee
How many employees are there in the New York office?,headcount_report,headcount_by_location,"{""year"": ""2025"", ""location"": ""New York""}",employee
I was wondering about the headcount for remote employees this quarter.,headcount_report,headcount_by_location,"{""quarter"": ""Q3"", ""year"": ""2025""}",hr
Can you tell me how many developers we have on the team?,headcount_report,headcount_by_role,"{""year"": ""2025"", ""role"": ""developer""}",employee
What’s the headcount for all roles in the company right now?,headcount_report,headcount_by_role,"{""year"": ""2025""}",hr
Is there a report available for headcount by role for last year?,headcount_report,headcount_by_role,"{""year"": ""2024""}",employee
Could you get me the headcount for the HR department for this month?,headcount_report,headcount_by_department,"{""month"": ""August"", ""year"": ""2025"", ""department"": ""HR""}",hr
What’s the total headcount for the engineering department?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""engineering""}",hr
Can you help me find the headcount by role for the last month?,headcount_report,headcount_by_role,"{""month"": ""July"", ""year"": ""2025""}",employee
How many employees are in the finance department this year?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""finance""}",hr
I need to see the headcount by location for all offices.,headcount_report,headcount_by_location,"{""year"": ""2025""}",employee
Could you provide the headcount for all roles in the company?,headcount_report,headcount_by_role,"{""year"": ""2025""}",hr
What’s the headcount in the customer service department?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""customer service""}",employee
Can I get a report on headcount by location for this year?,headcount_report,headcount_by_location,"{""year"": ""2025""}",hr
How many people are working in the IT department right now?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""IT""}",employee
What’s the headcount for our remote workers this month?,headcount_report,headcount_by_location,"{""month"": ""August"", ""year"": ""2025""}",hr
Can you tell me the headcount by role for the last year?,headcount_report,headcount_by_role,"{""year"": ""2024""}",employee
"I’d like to see the headcount for the operations team, please.",headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""operations""}",hr
What’s the current headcount for the legal department?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""legal""}",employee
How many employees are there in the product team this year?,headcount_report,headcount_by_department,"{""year"": ""2025"", ""department"": ""product""}",employee
Could you get me the headcount by role for the current month?,headcount_report,headcount_by_role,"{""month"": ""August"", ""year"": ""2025""}",hr
What’s the total headcount for the company as of now?,headcount_report,headcount_by_role,"{""year"": ""2025""}",employee
Can I see the headcount for the sales department for last year?,headcount_report,headcount_by_department,"{""year"": ""2024"", ""department"": ""sales""}",hr
How many employees are in the design team this month?,headcount_report,headcount_by_department,"{""month"": ""August"", ""year"": ""2025"", ""department"": ""design""}",employee
Can you provide the headcount by location for the engineering department?,headcount_report,headcount_by_location,"{""year"": ""2025"", ""department"": ""engineering""}",hr
Could you tell me the headcount by role for the finance department?,headcount_report,headcount_by_role,"{""year"": ""2025"", ""department"": ""finance""}",hr
Can you show me the headcount for all locations this year?,headcount_report,headcount_by_location,"{""year"": ""2025""}",hr
Can you share the current headcount by department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I’m looking for the headcount report by location for this year.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount by role for the previous month?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",hr
Is there a way to get the headcount by department for the upcoming year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2024""}",employee
Could you tell me the headcount by location for the last two months?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",employee
"I think I need the headcount report by role for the last month, please.",headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",employee
Can I get the headcount by department for the last fiscal year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",hr
What’s the headcount by location for this quarter?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
"I’d like to know the headcount by department for next month, if that’s available.",headcount_report,headcount_by_department,"{""month"": ""November"", ""year"": ""2023""}",employee
Can you show me the headcount by location for the last year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2022""}",employee
What’s the current headcount by role?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Can I see the headcount by department for the last quarter?,headcount_report,headcount_by_department,"{""month"": ""July"", ""year"": ""2023""}",employee
"I’d like to know the headcount by location for this year, if that’s possible.",headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you share the headcount by role for the upcoming year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2024""}",hr
What’s the headcount by department for the last two months?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
Can you give me the headcount by location for the last quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",hr
"I think I need the headcount by role for this month, please.",headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you provide the headcount by department for the last fiscal year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",hr
What’s the headcount by location for the previous month?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
Can I see the headcount by role for this quarter?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
"I’d like to know the headcount by department for this month, if that’s available.",headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you tell me the headcount by location for next month?,headcount_report,headcount_by_location,"{""month"": ""November"", ""year"": ""2023""}",hr
What was the headcount by role for the last two months?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",hr
Can I get the headcount report by department for this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the current headcount by location for the last quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
Could you provide the headcount by role for the year 2025?,headcount_report,headcount_by_role,"{""month"": ""January"", ""year"": ""2025""}",employee
I need to see the headcount report for our department. Can you help?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
Is there a way to check the headcount by location for this year?,headcount_report,headcount_by_location,"{""month"": ""November"", ""year"": ""2023""}",hr
Can you share the headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""month"": ""March"", ""year"": ""2023""}",hr
I was wondering about the headcount in our department for October. Any insights?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount by location looking like for this month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you tell me the headcount by role for the upcoming year?,headcount_report,headcount_by_role,"{""month"": ""January"", ""year"": ""2024""}",employee
I think I need the headcount report by department for last month. Can you assist?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
Is there a report available for headcount by location for the current month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you provide the headcount by role for the last two years?,headcount_report,headcount_by_role,"{""month"": ""December"", ""year"": ""2023""}",hr
What’s the headcount in our department as of this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Could I see the headcount by location for the last quarter?,headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",employee
I’m curious about the headcount by role for this year. Any updates?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you help me find the headcount report by department for the last month?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
What’s the headcount by location for the current year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you provide the headcount by role for the last fiscal quarter?,headcount_report,headcount_by_role,"{""month"": ""July"", ""year"": ""2023""}",hr
I need to check the headcount in our department for the upcoming month. Can you assist?,headcount_report,headcount_by_department,"{""month"": ""November"", ""year"": ""2023""}",employee
Is there a way to get the headcount by location for the past year?,headcount_report,headcount_by_location,"{""month"": ""December"", ""year"": ""2023""}",employee
Can you share the headcount by role for the current month?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount report for our department looking like this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Could I see the headcount by location for the last month?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
I think I need the headcount by role for this year. Any insights?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you help me find the headcount report by department for the last quarter?,headcount_report,headcount_by_department,"{""month"": ""July"", ""year"": ""2023""}",employee
I need to check the headcount in our department for the last month. Can you assist?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",hr
Can you provide the headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""month"": ""March"", ""year"": ""2023""}",hr
What’s the headcount in our department as of last month?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
I’m curious about the headcount by role for this month. Any updates?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
"I need to see the headcount by location for the last quarter, please.",headcount_report,headcount_by_location,"{""month"": ""July"", ""year"": ""2023""}",hr
What is the current headcount by role in our team?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you get me the headcount report for the sales department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I'm curious about the headcount by location for the engineering team.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you show me the headcount by role for the marketing department?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount report for all departments this year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Please provide the headcount by location for the last month.,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
I think I need the headcount by role for the IT department.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you help me find the headcount report by department for the last fiscal year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the headcount by location for our office in New York?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Can I get the headcount by role for the entire company?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Where can I find the headcount report for the finance department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
"I need the headcount by location for the last two months, if possible.",headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
Can you tell me the headcount by role for the interns?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount report for the HR department this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I’d like to see the headcount by location for the last year.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you provide the headcount by role for the management team?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What’s the headcount report for all departments combined?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you get me the headcount by location for our Chicago office?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
I think I need the headcount by role for the legal team.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you show me the headcount report for the last quarter by department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the headcount by location for the last month?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",employee
Please provide the headcount by role for the entire organization.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Where can I find the headcount report for the operations department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
I need the headcount by location for the last two quarters.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
Can you tell me the headcount by role for the contractors?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
What’s the headcount report for the customer service department this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
I’d like to see the headcount by location for the last fiscal year.,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Can you provide the headcount by role for the full-time employees?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
Could you help me find the headcount by location for the last month?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",hr
I think I need the headcount by role for the part-time staff.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you tell me how many employees we have in each department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
Can I get a report on headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2022""}",hr
I think I need the headcount report by department for next month.,headcount_report,headcount_by_department,"{""month"": ""November"", ""year"": ""2023""}",employee
Could you provide the headcount by location for this quarter?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
What was the headcount by role for the previous month?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",employee
Can I see the headcount report by department for the last two years?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",hr
"I need the headcount by location for the current month, please.",headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you show me the headcount by role for this year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the current headcount by department?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",employee
Can I get the headcount by location for the upcoming month?,headcount_report,headcount_by_location,"{""month"": ""November"", ""year"": ""2023""}",hr
Is there a report available for headcount by role for last month?,headcount_report,headcount_by_role,"{""month"": ""September"", ""year"": ""2023""}",employee
What was the headcount by location for the last two months?,headcount_report,headcount_by_location,"{""month"": ""September"", ""year"": ""2023""}",employee
Can I see the headcount by role for the last fiscal quarter?,headcount_report,headcount_by_role,"{""month"": ""July"", ""year"": ""2023""}",hr
I need the headcount report by department for the last year.,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2022""}",employee
Could you share the headcount by location for this year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the headcount by role for the current month?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Can I get the headcount by department for the upcoming quarter?,headcount_report,headcount_by_department,"{""month"": ""January"", ""year"": ""2024""}",hr
Is there a way to find the headcount by location for this month?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you provide the headcount by role for last year?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2022""}",hr
What was the headcount by department for the last month?,headcount_report,headcount_by_department,"{""month"": ""September"", ""year"": ""2023""}",employee
I think I need the headcount report by role for this month.,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2023""}",employee
Could you show me the headcount by department for this year?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2023""}",hr
What is the headcount by location for the upcoming year?,headcount_report,headcount_by_location,"{""month"": ""October"", ""year"": ""2024""}",employee
Can I get the headcount by role for the last two years?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2022""}",hr
Can you provide the headcount report by department for this year?,headcount_report,headcount_by_department,"{""year"": ""2025""}",hr
I'm curious about the current headcount in our marketing department. Can you help?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
Could you tell me how many employees we have in the New York office?,headcount_report,headcount_by_location,"{""year"": ""2025""}",employee
I need the headcount by role for the finance team. Is that available?,headcount_report,headcount_by_role,"{""year"": ""2025""}",hr
Can you share the headcount report for all departments this month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2025""}",hr
What’s the total headcount in the sales department as of now?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
I think I need the headcount by location for our offices in Europe. Can you check?,headcount_report,headcount_by_location,"{""year"": ""2025""}",hr
Could you give me the headcount by role for the HR team?,headcount_report,headcount_by_role,"{""year"": ""2025""}",hr
Is there a report available for headcount by department for last year?,headcount_report,headcount_by_department,"{""year"": ""2024""}",employee
What’s the headcount by location for the Asia-Pacific region?,headcount_report,headcount_by_location,"{""year"": ""2025""}",hr
How many people are in the engineering department right now?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
What’s the breakdown of headcount by role for the entire organization?,headcount_report,headcount_by_role,"{""year"": ""2025""}",hr
Can you tell me how many employees we have in the London office?,headcount_report,headcount_by_location,"{""year"": ""2025""}",employee
I’d like to know the headcount report for the IT department this year.,headcount_report,headcount_by_department,"{""year"": ""2025""}",hr
What’s the current headcount by role for the project management team?,headcount_report,headcount_by_role,"{""year"": ""2025""}",employee
Could you check the headcount by location for North America?,headcount_report,headcount_by_location,"{""year"": ""2025""}",hr
How many employees are there in the customer support department?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
Can I get the headcount by role for the last fiscal year?,headcount_report,headcount_by_role,"{""year"": ""2024""}",hr
What’s the headcount report for the operations department as of now?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
How many people are currently in the sales department?,headcount_report,headcount_by_department,"{""year"": ""2025""}",employee
Is there a way to see the headcount by role for the last quarter?,headcount_report,headcount_by_role,"{""month"": ""October"", ""year"": ""2025""}",hr
What’s the headcount by department for the current month?,headcount_report,headcount_by_department,"{""month"": ""October"", ""year"": ""2025""}",hr
Can you tell me the total headcount in the company by location?,headcount_report,headcount_by_location,"{""year"": ""2025""}",employee
